Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
61	-355.11032	270.03473	38.903328	-753.4884	-309.4753	175.17847	1.5194489	-578.6861	1000.0	1000.0	261.0	628.2587	2090.0	0.0	338.0	1014.0197	3400.0	0.0	610000.0	184.14047	201.97066	1396.9939	-60.910328	-187.53937	15.988482	6431.775775432587
62	-348.81003	169.42166	-41.58038	-643.9323	-365.45404	156.20123	-1.786474	-558.1398	1000.0	1000.0	1133.0	1583.3827	5110.0	0.0	362.5	871.34875	3350.0	0.0	620000.0	206.84683	217.01372	1259.5492	-38.999676	-209.86435	12.906945	6536.490918159485
63	-300.1978	125.91809	-128.22865	-485.74484	-322.3498	239.78831	-2.9167047	-649.9747	1000.0	1000.0	134.0	402.0	1340.0	0.0	1106.5	1813.9164	6570.0	0.0	630000.0	215.68486	227.58276	1104.4174	-37.817047	-218.56728	13.623074	6640.820572853088
64	-350.14362	165.34964	-0.30709255	-599.16614	-272.5678	210.71089	-3.9922569	-653.28394	1000.0	1000.0	901.0	1189.1127	3400.0	0.0	838.5	2541.6143	10520.0	0.0	640000.0	236.07715	248.72202	1050.6437	-47.583992	-239.81328	13.362635	6744.36573600769
65	-336.58755	190.12062	-128.05692	-777.5532	-339.7652	200.34483	-77.05813	-795.3971	1000.0	1000.0	321.0	589.53284	1570.0	0.0	607.5	1331.2283	4280.0	0.0	650000.0	252.88136	259.83035	1095.7379	-49.71837	-256.25085	12.848462	6848.177737951279
66	-207.21404	90.2128	-100.88734	-363.9769	-343.75574	138.57745	-80.60586	-624.1218	1000.0	1000.0	0.0	0.0	0.0	0.0	610.5	1301.4432	4190.0	0.0	660000.0	280.12433	281.4095	1088.52	-39.82864	-285.54095	15.766369	6952.708955526352
67	-427.3527	137.59969	-211.46407	-641.4663	-307.2269	163.13596	0.7598636	-513.3346	1000.0	1000.0	0.0	0.0	0.0	0.0	1296.0	2023.2014	6490.0	0.0	670000.0	345.65073	344.2945	1354.1892	-51.954357	-351.7917	21.115017	7057.099294424057
68	-235.8248	176.40166	-69.97564	-549.6526	-323.5062	163.74724	-76.29811	-619.8939	1000.0	1000.0	1438.0	1901.9191	4790.0	0.0	488.5	981.77014	3690.0	0.0	680000.0	384.3505	389.8189	1360.9955	-55.357193	-389.67514	21.297874	7161.299064159393
69	-278.4455	126.33338	-6.8239403	-435.18347	-318.20972	161.5259	0.9927976	-589.2977	1000.0	1000.0	748.0	1555.1578	4690.0	0.0	1000.5	1438.0454	4570.0	0.0	690000.0	414.03503	424.69757	1333.3309	-52.34227	-419.4206	22.424028	7267.483900308609
70	-226.57764	102.96331	-75.31708	-401.1918	-452.18735	205.45824	-78.17382	-1020.53186	1000.0	1000.0	1284.0	2427.0403	7750.0	0.0	338.0	979.7071	4390.0	0.0	700000.0	412.6727	427.5282	1314.1377	-51.62908	-416.77295	18.446587	7372.445399045944
