Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
75	-0.058701403	0.17424482	0.23969422	-0.39650345	0.022115933	0.2995826	0.5888442	-0.6252953	1000.0	1000.0	0.0	0.0	0.0	0.0	792.5	1128.2325	3090.0	0.0	750000.0	14393291.0	14459010.0	34164576.0	-0.99976313	-14558095.0	3249136400.0	7916.93026471138
76	-0.2626421	0.41533276	0.11140623	-1.2491915	0.053924292	0.22796726	0.72493094	-0.35163334	1000.0	1000.0	644.0	905.9382	2220.0	0.0	261.0	783.0	2610.0	0.0	760000.0	14425117.0	14488768.0	33315258.0	-0.83273005	-14558850.0	2747620000.0	8019.797952890396
77	-0.0006306559	0.401987	0.59568536	-0.6908467	0.0086138025	0.5507592	0.8548525	-1.8416803	1000.0	1000.0	1357.0	1667.0276	3530.0	0.0	359.0	811.0296	2760.0	0.0	770000.0	13764169.0	13830873.0	31783292.0	-0.6794549	-13862286.0	2179970600.0	8123.744382381439
78	0.09706891	0.21698953	0.70536566	-0.025041426	0.028213507	0.42808986	0.8168577	-1.2534443	1000.0	1000.0	0.0	0.0	0.0	0.0	1507.5	2216.0615	6380.0	0.0	780000.0	12529581.0	12603128.0	29541408.0	-0.7768364	-12596478.0	1933111600.0	8227.353959798813
79	-0.1419212	0.4705558	0.56624544	-1.1845262	0.09563689	0.42406902	0.93578887	-0.95340645	1000.0	1000.0	1107.0	1218.9836	2930.0	0.0	295.0	609.2495	1940.0	0.0	790000.0	10660423.0	10754032.0	26126816.0	-0.87440956	-10676060.0	1822403300.0	8339.196603298187
80	0.12428318	0.3191032	0.81937486	-0.2412612	0.026258195	0.40313816	0.8027949	-1.0473261	1000.0	1000.0	0.0	0.0	0.0	0.0	433.0	946.4782	3640.0	0.0	800000.0	8273274.5	8369219.5	22186666.0	-0.69188523	-8260803.0	1484675500.0	8448.216297149658
81	0.21246178	0.9204488	1.654685	-1.8716826	0.027749673	0.8074822	1.8816128	-1.5393753	1000.0	1000.0	435.0	898.8353	2680.0	0.0	844.0	1540.115	5680.0	0.0	810000.0	5765432.0	5881010.0	18092130.0	-0.94569796	-5723986.5	1257551500.0	8558.341961860657
82	0.39817297	0.7044102	1.8796487	-0.54203534	0.0005930386	0.71427625	1.369566	-2.0715473	1000.0	1000.0	914.0	1301.1165	3790.0	0.0	141.5	455.81	1940.0	0.0	820000.0	3624188.2	3728513.8	14211633.0	-0.95847565	-3586500.2	936611800.0	8668.70506811142
83	0.027974408	0.5614482	0.540329	-1.5219946	0.18552022	0.51069295	1.5983783	-0.35005295	1000.0	1000.0	0.0	0.0	0.0	0.0	353.5	652.53564	2310.0	0.0	830000.0	1989220.8	2133347.8	11336830.0	-1.0956589	-1946426.4	703141600.0	8779.063543081284
84	0.11521818	0.41771245	0.92217374	-0.39183998	-0.0008903563	0.3869696	1.0536324	-0.772851	1000.0	1000.0	695.0	1445.2491	4360.0	0.0	988.5	1495.3838	4300.0	0.0	840000.0	564492.75	856620.1	7933188.0	-1331385.4	-518289.1	721064300.0	8888.955768108368
85	0.06777961	0.3367005	0.8693592	-0.5349835	0.19264705	0.3187169	1.1144077	-0.04919812	1000.0	1000.0	572.0	1306.5741	4300.0	0.0	339.0	1022.02203	3710.0	0.0	850000.0	-523492.12	754388.8	5259650.5	-2865282.2	566193.7	817878700.0	8998.36636185646
86	0.2643204	0.45974347	1.466964	-0.25693023	0.09372864	0.38960803	0.98784155	-0.5032054	1000.0	1000.0	1533.0	2120.0662	6240.0	0.0	600.0	1113.2789	3830.0	0.0	860000.0	-1442861.5	1556704.9	3237648.0	-4883706.5	1500448.6	1469625900.0	9107.75613617897
87	-0.07137498	0.44473422	0.76960063	-0.75769854	-0.07343134	0.3558407	0.32426527	-1.5422046	1000.0	1000.0	1219.0	1406.8792	4080.0	0.0	93.0	255.85347	870.0	0.0	870000.0	-2592697.8	2687485.2	1574191.9	-7441186.5	2670862.2	2975556900.0	9217.62289094925
