Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
76	-255.5418	127.049805	-14.778237	-466.4235	-450.8648	164.99232	-240.69447	-755.2035	1000.0	1000.0	759999	-2851444.5	360825.0	-1400877.2	-4326294.0	2888665.0	228221020.0	21146.519830942154
77	-297.96893	207.6106	-3.2724466	-613.99524	-312.92157	234.64961	11.612442	-679.5324	1000.0	1000.0	769999	-3423537.5	335969.78	-1665000.4	-4919750.0	3467801.8	190654340.0	21427.2251226902
78	-348.46982	231.3785	-23.986677	-752.2192	-273.78436	246.37416	35.1692	-661.8924	1000.0	1000.0	779999	-3521026.2	342659.03	-2336825.2	-5102807.0	3551328.8	182049710.0	21708.590421676636
79	-295.54462	205.22948	-21.170057	-720.7788	-225.98947	174.27095	54.25576	-603.7836	1000.0	1000.0	789999	-3360101.5	343416.66	-2086073.5	-4802239.0	3397372.2	173151250.0	21990.632434606552
80	-325.97223	270.8418	126.065796	-645.6125	-222.25127	176.86443	53.32792	-487.1763	1000.0	1000.0	799999	-3673333.2	386075.75	-2084545.8	-4783537.5	3714684.5	155754610.0	22271.019523382187
81	-418.74155	145.81886	-95.95982	-649.2957	-354.53387	172.67035	-78.14231	-569.2143	1000.0	1000.0	809999	-3407341.5	480712.06	-1738083.6	-4819773.5	3425561.5	178018160.0	22551.777245759964
82	-321.8947	202.82045	4.948405	-575.1085	-335.052	183.60614	-68.4551	-607.97253	1000.0	1000.0	819999	-2419264.8	517784.53	-1272209.9	-4173414.2	2424204.5	159588060.0	22832.4609913826
83	-256.19336	155.498	-48.188248	-463.4403	-391.0274	176.16792	-88.79796	-656.8527	1000.0	1000.0	829999	-1676925.2	339388.7	-902458.25	-3232680.8	1683407.9	82970620.0	23113.514387607574
84	-218.6794	261.19647	122.290306	-613.0341	-363.0324	168.38963	-101.15187	-602.314	1000.0	1000.0	839999	-1340250.1	222278.14	-731075.56	-2558785.2	1349428.4	44951744.0	23394.108430624008
85	-340.2223	133.1551	-155.54587	-498.3071	-241.35457	213.45969	-1.9726796	-673.9115	1000.0	1000.0	849999	-1215737.4	161650.03	-684092.3	-2249567.2	1226404.6	31832198.0	23675.69247174263
